Header,ModelName,Field,Direct,Note,OtherField
ID,NOT_NEEED,,,This is a sharepoint field,
Model Lead,Collaborator,MODEL_LEAD,FALSE,This is not 1:1,
Approval Status,?,,,,
Final,?,,,,
Email Status,?,,,,
Start Clearance,PlanBasics,ClearanceStarts,FALSE,"This is a date range, ClearanceEnds",
ACO Support,MANUAL_ENTRY,IddocSupport,TRUE,"PlanOpsEvalAndLearning        IddocSupport WE already handle the uses ACO field, this is extra",
ACO Support-Notes,PlanOpsEvalAndLearning,IddocSupportNote,TRUE,,
Model Support,Collaborator,MODEL_TEAM,FALSE,This is not 1:1,
CMMI-Operational Needs Assessment-Set Permissions,?,,,,
CMMI - Model Intake - Operational Needs Assessment,?,,,,
Additional Notes,?,,,,
Additional Services Involved,PlanGeneralCharacteristics,AdditionalServicesInvolved,,"We have bool, note, and description",
Additional Services Involved-Notes,PlanGeneralCharacteristics,AdditionalServicesInvolvedNote,TRUE,,
Agreement Type,PlanGeneralCharacteristics,AgreementTypes,TRUE,Need to Sanitize,AgreementTypesOther
Agreement Type-Notes,MANUAL_ENTRY,AgreementTypesOther,TRUE,"Probably goes to other here, need to verify",
Announce Model,PlanBasics,Announced,TRUE,,
APM Model Type,PlanGeneralCharacteristics,AlternativePaymentModelTypes,TRUE,Need to Sanitize,
APM Model Type-Notes,PlanGeneralCharacteristics,AlternativePaymentModelNote,,,
App Created By,?,,,,
App Modified By,?,,,,
Appeal-Feedback Results,PlanOpsEvalAndLearning,AppealFeedback,TRUE,,
Appeal-Notes,PlanOpsEvalAndLearning,AppealNote,TRUE,,
Appeal-Others,PlanOpsEvalAndLearning,AppealOther,TRUE,,
Appeal-Payments,PlanOpsEvalAndLearning,AppealPayments,TRUE,,
Appeal-Performance Scores,PlanOpsEvalAndLearning,AppealPerformance,TRUE,,
Application Period,PlanBasics,ApplicationsStart,FALSE,"date range, ApplicationsEnd",
Authority To Operate,PlanGeneralCharacteristics,AuthorityAllowances,TRUE,,
Authority To Operate-Notes,PlanGeneralCharacteristics,AuthorityAllowancesNote,TRUE,,
Beneficiary Capture,?,,,,
Beneficiary Capture-Notes,?,,,,
Beneficiary Overlap,PlanBeneficiaries,BeneficiaryOverlap,TRUE,,
Beneficiary Overlap-Notes,PlanBeneficiaries,BeneficiaryOverlapNote,TRUE,,
Claims-Based Payment Type,PlanPayments,PayType,FALSE,enumeration,
Claims-Based Payments,PlanPayments,PayType,FALSE,Boolean,
CMMI Group,PlanBasics,CMMIGroups,TRUE,,
CMS Center,PlanBasics,CMSCenters,TRUE,,
Community Partners Involved,PlanGeneralCharacteristics,CommunityPartnersInvolved,TRUE,,
Community Partners Involved-Notes,PlanGeneralCharacteristics,CommunityPartnersInvolvedNote,TRUE,,
Complete ICIP,PlanBasics,CompleteICIP,TRUE,,
Content Type,?,,,"All seem to be populated with ""Item""",
Created,ModelPlan,CreatedDts,TRUE,,
Created By,ModelPlan,CreatedBy,TRUE,,
Current Model Participation,PlanParticipantsAndProviders,ParticipantsCurrentlyInModels,TRUE,,
Current Model Participation-Notes,PlanParticipantsAndProviders,ParticipantsCurrentlyInModelsNote,TRUE,,
Data Collection Starts,PlanOpsEvalAndLearning,DataCollectionStarts,TRUE,,
Data Monitoring,PlanOpsEvalAndLearning,DataMonitoringFileTypes,FALSE,"DataMonitoringFileTypes, DataResponseType, DataResponseFileFrequency, DataFullTimeOrIncremental, EftSetUp, UnsolicitedAdjustmentsIncluded, DataFlowDiagramsNeeded, ProduceBenefitEnhancementFiles, FileNamingConventions ",DataMonitoringFileOther
Data Monitoring-Notes,PlanOpsEvalAndLearning,DataMonitoringNote,TRUE,,
Data Sharing Starts,PlanOpsEvalAndLearning,DataSharingStarts,TRUE,,
Different Tracks,PlanGeneralCharacteristics,HasComponentsOrTracks,TRUE,,
Different Tracks-Notes,PlanGeneralCharacteristics,HasComponentsOrTracksNote,TRUE,,
Existing Model Name,?,ModelName,TRUE,,
Existing Model Name Lookup,?,?,,nameHistory?,
Existing Model Name-Notes,?,,,,
Finish Clearance,PlanBasics,ClearanceEnds,TRUE,,
Folder Child Count,?,,,,
Funding Source,PlanPayments,FundingSource,TRUE,,
Funding Source-Notes,PlanPayments,FundingSourceNote,TRUE,,
Gainsharing Payments,PlanParticipantsAndProviders,GainsharePayments,TRUE,,
Geography Applied To,PlanGeneralCharacteristics,GeographiesTargetedAppliedTo,TRUE,,
