GoModel,GQLModel,TableName,EmbeddedStruct,GoField,DataType,GQLField,DBField
AnalyzedAudit,AnalyzedAudit,analyzed_audit,models.baseStruct,ID,uuid.UUID,id,id
AnalyzedAudit,AnalyzedAudit,analyzed_audit,models.baseStruct | models.createdByRelation,CreatedBy,uuid.UUID,createdBy,created_by
AnalyzedAudit,AnalyzedAudit,analyzed_audit,models.baseStruct | models.createdByRelation | time.Time,wall,uint64,,
AnalyzedAudit,AnalyzedAudit,analyzed_audit,models.baseStruct | models.createdByRelation | time.Time,ext,int64,,
AnalyzedAudit,AnalyzedAudit,analyzed_audit,models.baseStruct | models.createdByRelation | time.Time,loc,*time.Location,,
AnalyzedAudit,AnalyzedAudit,analyzed_audit,models.baseStruct | models.modifiedByRelation,ModifiedBy,*uuid.UUID,modifiedBy,modified_by
AnalyzedAudit,AnalyzedAudit,analyzed_audit,models.baseStruct | models.modifiedByRelation,ModifiedDts,*time.Time,modifiedDts,modified_dts
AnalyzedAudit,AnalyzedAudit,analyzed_audit,models.modelPlanRelation,ModelPlanID,uuid.UUID,modelPlanID,model_plan_id
AnalyzedAudit,AnalyzedAudit,analyzed_audit,null,ModelName,string,modelName,model_name
AnalyzedAudit,AnalyzedAudit,analyzed_audit,time.Time,wall,uint64,,
AnalyzedAudit,AnalyzedAudit,analyzed_audit,time.Time,ext,int64,,
AnalyzedAudit,AnalyzedAudit,analyzed_audit,time.Time,loc,*time.Location,,
AnalyzedAudit,AnalyzedAudit,analyzed_audit,models.AnalyzedAuditChange,ModelPlan,*models.AnalyzedModelPlan,"modelPlan,omitempty",
AnalyzedAudit,AnalyzedAudit,analyzed_audit,models.AnalyzedAuditChange,Documents,*models.AnalyzedDocuments,"documents,omitempty",
AnalyzedAudit,AnalyzedAudit,analyzed_audit,models.AnalyzedAuditChange,CrTdls,*models.AnalyzedCrTdls,"crTdls,omitempty",
AnalyzedAudit,AnalyzedAudit,analyzed_audit,models.AnalyzedAuditChange,PlanSections,*models.AnalyzedPlanSections,"planSections,omitempty",
AnalyzedAudit,AnalyzedAudit,analyzed_audit,models.AnalyzedAuditChange,ModelLeads,*models.AnalyzedModelLeads,"modelLeads,omitempty",
AnalyzedAudit,AnalyzedAudit,analyzed_audit,models.AnalyzedAuditChange,PlanDiscussions,*models.AnalyzedPlanDiscussions,"planDiscussion,omitempty",
DiscussionReply,DiscussionReply,discussion_reply,models.baseStruct,ID,uuid.UUID,id,id
DiscussionReply,DiscussionReply,discussion_reply,models.baseStruct | models.createdByRelation,CreatedBy,uuid.UUID,createdBy,created_by
DiscussionReply,DiscussionReply,discussion_reply,models.baseStruct | models.createdByRelation | time.Time,wall,uint64,,
DiscussionReply,DiscussionReply,discussion_reply,models.baseStruct | models.createdByRelation | time.Time,ext,int64,,
DiscussionReply,DiscussionReply,discussion_reply,models.baseStruct | models.createdByRelation | time.Time,loc,*time.Location,,
DiscussionReply,DiscussionReply,discussion_reply,models.baseStruct | models.modifiedByRelation,ModifiedBy,*uuid.UUID,modifiedBy,modified_by
DiscussionReply,DiscussionReply,discussion_reply,models.baseStruct | models.modifiedByRelation,ModifiedDts,*time.Time,modifiedDts,modified_dts
DiscussionReply,DiscussionReply,discussion_reply,models.discussionRelation,DiscussionID,uuid.UUID,discussionID,discussion_id
DiscussionReply,DiscussionReply,discussion_reply,null,Content,string,content,content
DiscussionReply,DiscussionReply,discussion_reply,null,Resolution,bool,resolution,resolution
DiscussionReply,DiscussionReply,discussion_reply,null,IsAssessment,bool,isAssessment,is_assessment
ExistingModel,ExistingModel,existing_model,null,ID,int,id,id
ExistingModel,ExistingModel,existing_model,null,ModelName,string,modelName,model_name
ExistingModel,ExistingModel,existing_model,null,Stage,string,stage,stage
ExistingModel,ExistingModel,existing_model,models.createdByRelation,CreatedBy,uuid.UUID,createdBy,created_by
ExistingModel,ExistingModel,existing_model,models.createdByRelation | time.Time,wall,uint64,,
ExistingModel,ExistingModel,existing_model,models.createdByRelation | time.Time,ext,int64,,
ExistingModel,ExistingModel,existing_model,models.createdByRelation | time.Time,loc,*time.Location,,
ExistingModel,ExistingModel,existing_model,models.modifiedByRelation,ModifiedBy,*uuid.UUID,modifiedBy,modified_by
ExistingModel,ExistingModel,existing_model,models.modifiedByRelation,ModifiedDts,*time.Time,modifiedDts,modified_dts
ExistingModel,ExistingModel,existing_model,null,NumberOfParticipants,*string,numberOfParticipants,number_of_participants
ExistingModel,ExistingModel,existing_model,null,Category,*string,category,category
ExistingModel,ExistingModel,existing_model,null,Authority,*string,authority,authority
ExistingModel,ExistingModel,existing_model,null,Description,*string,description,description
ExistingModel,ExistingModel,existing_model,null,NumberOfBeneficiariesImpacted,*int,numberOfBeneficiariesImpacted,number_of_beneficiaries_impacted
ExistingModel,ExistingModel,existing_model,null,NumberOfPhysiciansImpacted,*int,numberOfPhysiciansImpacted,number_of_physicians_impacted
ExistingModel,ExistingModel,existing_model,null,DateBegan,*time.Time,dateBegan,date_began
ExistingModel,ExistingModel,existing_model,null,DateEnded,*time.Time,dateEnded,date_ended
ExistingModel,ExistingModel,existing_model,null,States,*string,states,states
ExistingModel,ExistingModel,existing_model,null,Keywords,*string,keywords,keywords
ExistingModel,ExistingModel,existing_model,null,URL,*string,url,url
ExistingModel,ExistingModel,existing_model,null,DisplayModelSummary,*bool,displayModelSummary,display_model_summary
ExistingModelLink,ExistingModelLink,existing_model_link,null,ExistingModelID,*int,existingModelID,existing_model_id
ExistingModelLink,ExistingModelLink,existing_model_link,null,CurrentModelPlanID,*uuid.UUID,currentModelPlanID,current_model_plan_id
ExistingModelLink,ExistingModelLink,existing_model_link,models.baseStruct,ID,uuid.UUID,id,id
ExistingModelLink,ExistingModelLink,existing_model_link,models.baseStruct | models.createdByRelation,CreatedBy,uuid.UUID,createdBy,created_by
ExistingModelLink,ExistingModelLink,existing_model_link,models.baseStruct | models.createdByRelation | time.Time,wall,uint64,,
ExistingModelLink,ExistingModelLink,existing_model_link,models.baseStruct | models.createdByRelation | time.Time,ext,int64,,
ExistingModelLink,ExistingModelLink,existing_model_link,models.baseStruct | models.createdByRelation | time.Time,loc,*time.Location,,
ExistingModelLink,ExistingModelLink,existing_model_link,models.baseStruct | models.modifiedByRelation,ModifiedBy,*uuid.UUID,modifiedBy,modified_by
ExistingModelLink,ExistingModelLink,existing_model_link,models.baseStruct | models.modifiedByRelation,ModifiedDts,*time.Time,modifiedDts,modified_dts
ExistingModelLink,ExistingModelLink,existing_model_link,models.modelPlanRelation,ModelPlanID,uuid.UUID,modelPlanID,model_plan_id
ModelPlan,ModelPlan,model_plan,models.baseStruct,ID,uuid.UUID,id,id
ModelPlan,ModelPlan,model_plan,models.baseStruct | models.createdByRelation,CreatedBy,uuid.UUID,createdBy,created_by
ModelPlan,ModelPlan,model_plan,models.baseStruct | models.createdByRelation | time.Time,wall,uint64,,
ModelPlan,ModelPlan,model_plan,models.baseStruct | models.createdByRelation | time.Time,ext,int64,,
ModelPlan,ModelPlan,model_plan,models.baseStruct | models.createdByRelation | time.Time,loc,*time.Location,,
ModelPlan,ModelPlan,model_plan,models.baseStruct | models.modifiedByRelation,ModifiedBy,*uuid.UUID,modifiedBy,modified_by
ModelPlan,ModelPlan,model_plan,models.baseStruct | models.modifiedByRelation,ModifiedDts,*time.Time,modifiedDts,modified_dts
ModelPlan,ModelPlan,model_plan,null,ModelName,string,modelName,model_name
ModelPlan,ModelPlan,model_plan,null,Archived,bool,archived,archived
ModelPlan,ModelPlan,model_plan,null,Status,models.ModelStatus,status,status
NdaAgreement,NdaAgreement,nda_agreement,null,UserID,uuid.UUID,userID,user_id
NdaAgreement,NdaAgreement,nda_agreement,null,Agreed,bool,agreed,agreed
NdaAgreement,NdaAgreement,nda_agreement,null,AgreedDts,*time.Time,agreedDts,agreed_dts
NdaAgreement,NdaAgreement,nda_agreement,null,ID,uuid.UUID,id,id
NdaAgreement,NdaAgreement,nda_agreement,null,CreatedBy,uuid.UUID,createdBy,created_by
NdaAgreement,NdaAgreement,nda_agreement,time.Time,wall,uint64,,
NdaAgreement,NdaAgreement,nda_agreement,time.Time,ext,int64,,
NdaAgreement,NdaAgreement,nda_agreement,time.Time,loc,*time.Location,,
NdaAgreement,NdaAgreement,nda_agreement,null,ModifiedBy,*uuid.UUID,modifiedBy,modified_by
NdaAgreement,NdaAgreement,nda_agreement,null,ModifiedDts,*time.Time,modifiedDts,modified_dts
OperationalNeed,OperationalNeed,operational_need,models.baseStruct,ID,uuid.UUID,id,id
OperationalNeed,OperationalNeed,operational_need,models.baseStruct | models.createdByRelation,CreatedBy,uuid.UUID,createdBy,created_by
OperationalNeed,OperationalNeed,operational_need,models.baseStruct | models.createdByRelation | time.Time,wall,uint64,,
OperationalNeed,OperationalNeed,operational_need,models.baseStruct | models.createdByRelation | time.Time,ext,int64,,
